1	2056574	2059540	1	1	1	1	0	29
1	6462175	6462628	2	2	1	1	0	24
1	6462667	6462862	2	2	1	1	0	30
1	8861430	8862886	2	2	1	1	0	10
1	9570359	9573345	1	1	1	1	0	20
1	9573413	9579953	1	1	1	1	0	4
1	11080550	11080763	2	2	1	1	0	22
1	25242706	25243549	2	2	1	1	0	21
1	26318072	26320170	1	1	1	1	0	30
1	26573362	26574078	1	1	1	1	0	5
1	30733918	30735156	2	2	0	1	0	36
1	30733918	30735172	2	2	1	1	0	2
1	30735266	30737603	2	2	1	2	0	37
1	31271500	31281373	2	2	1	1	0	34
1	31632639	31633158	2	2	1	1	0	3
1	36293936	36296582	1	1	1	1	0	23
1	44777790	44777999	1	1	1	1	0	1
1	54041806	54043372	2	2	1	1	0	37
1	64883476	64886258	2	2	1	0	1	26
1	86742437	86743127	1	1	1	1	0	24
1	92832118	92833388	1	1	1	1	0	3
1	92833459	92833544	1	1	1	1	0	17
1	92833661	92834778	1	1	1	1	0	9
1	92834914	92836189	1	1	1	2	0	30
1	109231787	109235209	1	1	1	1	0	31
1	109629491	109629795	1	1	1	1	0	23
1	109629917	109630232	1	1	1	2	0	28
1	145978606	145978606	2	2	0	1	0	30
1	145995292	145995403	2	2	1	1	0	24
1	145995477	145996016	2	2	1	1	0	2
1	150226796	150229071	2	2	1	1	0	14
1	151762501	151762989	2	2	1	1	0	31
1	153760391	153760826	1	1	1	1	0	32
1	153817543	153818039	2	2	1	2	0	15
1	156018369	156020012	2	2	1	1	0	21
1	159918942	159919273	2	2	1	1	0	16
1	160356348	160356599	1	1	1	1	0	10
1	160487176	160489087	2	2	1	1	0	5
1	198718303	198722415	1	1	1	1	0	25
1	198742368	198744053	1	1	1	1	0	6
1	198748170	198748170	1	1	0	1	0	29
1	198748200	198749415	1	1	1	1	0	13
1	209775737	209777351	1	1	1	1	0	18
1	211276419	211278116	1	1	1	1	0	19
1	224424655	224431476	2	2	1	1	0	35
1	225865968	225866573	2	2	1	1	0	35
1	226064480	226065655	1	1	1	0	1	36
1	226065810	226071350	1	1	1	0	1	18
1	226381209	226383035	2	2	1	1	0	17
1	230908792	230908941	2	2	1	1	0	23
1	230909021	230911469	2	2	1	1	0	28
1	235113911	235119817	2	2	1	1	0	23
1	244855609	244855903	2	4	1	1	0	28
10	15789320	15796099	2	2	1	1	0	22
10	17229986	17230649	1	1	1	1	0	5
10	17230711	17233586	1	1	1	1	0	7
10	60160609	60160609	2	2	0	1	0	24
10	60270230	60278773	2	2	1	1	0	3
10	69186551	69187641	1	3	1	1	0	33
10	72508270	72533745	2	2	1	1	0	27
10	72533790	72551178	2	2	1	1	0	4
10	74843479	74959969	1	1	1	1	0	33
10	74960079	74969659	1	1	1	2	0	11
10	84150244	84150708	1	1	1	1	0	36
10	91859649	91861998	1	1	1	1	0	31
10	91862156	91862936	1	1	1	1	0	2
10	97430654	97430954	1	1	1	1	0	10
10	100497794	100498028	2	2	1	1	0	20
10	103105802	103106588	2	2	1	1	0	16
10	103139480	103174857	2	2	1	1	0	22
10	110894523	110895947	1	1	1	1	0	21
10	114437925	114439175	2	4	1	1	0	37
10	121743859	121790168	2	2	1	1	0	9
10	132355887	132361456	1	1	1	1	0	11
10	132361576	132365423	1	1	1	1	0	10
11	237145	238997	1	1	1	1	0	36
11	251937	252504	1	1	1	1	0	32
11	407958	408072	2	2	1	1	0	35
11	1884582	1886731	1	1	1	1	0	34
11	5708604	5709052	1	1	1	1	0	11
11	7992164	7992886	1	1	1	1	0	32
11	7994518	7994981	1	1	1	1	0	17
11	8682817	8683201	1	1	1	1	0	25
11	8684893	8685677	1	1	1	1	0	25
11	18403014	18403693	1	1	1	1	0	24
11	32589642	32593865	1	1	1	1	0	14
11	32593950	32594913	1	1	1	1	0	8
11	35190066	35214851	1	1	1	1	0	13
11	35219388	35229128	1	1	1	1	0	13
11	36274773	36276136	2	2	1	1	0	13
11	62560194	62560281	2	2	1	1	0	2
11	62560455	62566805	2	2	1	1	0	21
11	62571109	62571539	2	2	1	1	0	10
