1	92834914	92836189	1
11	75404208	75404671	1
12	21638471	21641951	2
15	44711614	44715422	1
15	44715702	44716328	1
15	66500377	66500948	2
15	66501106	66501374	2
15	66501505	66501787	2
16	89560713	89560939	1
17	39203110	39204076	1
17	39204188	39204524	1
3	39411000	39411648	1
6	73517935	73518029	2
6	73518265	73518353	2
6	73518849	73518931	2
6	73519229	73519336	2
8	73292406	73292688	2
MT	3107	3107	0
X	154398395	154398496	1
X	154398543	154399337	1
X	154400627	154400701	1
X	72273973	72275052	2
X	72275151	72275543	2
